Smed_Code	Gene stable ID	Gene description	Transcript stable ID	Protein stable ID	Gene name	HGNC symbol	UniProtKB/Swiss-Prot ID
SmedASXL_014454	ENSG00000197102	dynein cytoplasmic 1 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2961]	ENST00000360184	ENSP00000348965	DYNC1H1	DYNC1H1	Q14204
SmedASXL_018345	ENSG00000039139	dynein axonemal heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:2950]	ENST00000265104	ENSP00000265104	DNAH5	DNAH5	Q8TE73
SmedASXL_018456	ENSG00000187775	dynein axonemal heavy chain 17 [Source:HGNC Symbol;Acc:HGNC:2946]	ENST00000591369	ENSP00000466150	DNAH17	DNAH17	
SmedASXL_014192	ENSG00000114841	dynein axonemal heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2940]	ENST00000420323	ENSP00000401514	DNAH1	DNAH1	Q9P2D7
SmedASXL_018113	ENSG00000118997	dynein axonemal heavy chain 7 [Source:HGNC Symbol;Acc:HGNC:18661]	ENST00000409063	ENSP00000386912	DNAH7	DNAH7	Q8WXX0
SmedASXL_017941	ENSG00000174231	pre-mRNA processing factor 8 [Source:HGNC Symbol;Acc:HGNC:17340]	ENST00000571958	ENSP00000459095	PRPF8	PRPF8	
SmedASXL_018492	ENSG00000183914	dynein axonemal heavy chain 2 [Source:HGNC Symbol;Acc:HGNC:2948]	ENST00000572933	ENSP00000458355	DNAH2	DNAH2	Q9P225
SmedASXL_018374	ENSG00000115423	dynein axonemal heavy chain 6 [Source:HGNC Symbol;Acc:HGNC:2951]	ENST00000237449	ENSP00000237449	DNAH6	DNAH6	Q9C0G6
SmedASXL_018408	ENSG00000150995	inositol 1,4,5-trisphosphate receptor type 1 [Source:HGNC Symbol;Acc:HGNC:6180]	ENST00000357086	ENSP00000349597	ITPR1	ITPR1	Q14643
SmedASXL_002823	ENSG00000141367	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	ENST00000393043	ENSP00000376763	CLTC	CLTC	Q00610
SmedASXL_018177	ENSG00000163625	WD repeat and FYVE domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20751]	ENST00000295888	ENSP00000295888	WDFY3	WDFY3	Q8IZQ1
SmedASXL_016671	ENSG00000197694	spectrin alpha, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11273]	ENST00000372731	ENSP00000361816	SPTAN1	SPTAN1	Q13813
